Team,Group,Rating
Mexico,A,59
South Africa,A,29
South Korea,A,56
Czechia,A,49
Canada,B,57
Bosnia Herzegovina,B,47
Qatar,B,21
Switzerland,B,64
Brazil,C,89
Morocco,C,68
Haiti,C,8
Scotland,C,44
USA,D,61
Paraguay,D,42
Australia,D,53
Turkey,D,49
Germany,E,84
Curacao,E,14
Ivory Coast,E,52
Ecuador,E,60
Netherlands,F,78
Japan,F,72
Sweden,F,46
Tunisia,F,37
Belgium,G,79
Egypt,G,51
Iran,G,43
New Zealand,G,25
Spain,H,94
Cape Verde,H,16
Saudi Arabia,H,33
Uruguay,H,62
France,I,95
Senegal,I,63
Iraq,I,19
Norway,I,65
Argentina,J,88
Algeria,J,50
Austria,J,54
Jordan,J,12
Portugal,K,82
DR Congo,K,38
Uzbekistan,K,22
Colombia,K,73
England,L,90
Croatia,L,71
Ghana,L,38
Panama,L,31
